"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","712","UI renders correctly at mobile resolution (375x812)","src.tests.compatibility","Tue Jul 07 00:24:48 UTC 2026","passed","Tue Jul 07 00:24:49 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","0","Scan valid barcode finds matching product","src.tests.functional","Tue Jul 07 00:28:26 UTC 2026","skipped","Tue Jul 07 00:28:26 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","7168","Payment with zero cash amount is rejected","src.tests.functional","Tue Jul 07 00:33:23 UTC 2026","passed","Tue Jul 07 00:33:31 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","186","Login page displays in default language","src.tests.compatibility","Tue Jul 07 00:24:51 UTC 2026","passed","Tue Jul 07 00:24:51 UTC 2026","TestMultiCurrency","test_multi_currency","",""
"","0","Split payment (cash + card) completes","src.tests.functional","Tue Jul 07 00:33:14 UTC 2026","broken","Tue Jul 07 00:33:14 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","648","UI renders correctly at desktop HD (1920x1080)","src.tests.compatibility","Tue Jul 07 00:24:49 UTC 2026","passed","Tue Jul 07 00:24:50 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","7340","Cash payment completes successfully","src.tests.functional","Tue Jul 07 00:32:23 UTC 2026","passed","Tue Jul 07 00:32:30 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","835","UI renders correctly at tablet resolution (768x1024)","src.tests.compatibility","Tue Jul 07 00:24:47 UTC 2026","passed","Tue Jul 07 00:24:48 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","583","POS interface renders in Chromium","src.tests.compatibility","Tue Jul 07 00:24:45 UTC 2026","broken","Tue Jul 07 00:24:46 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","93689","Barcode scan input accepted in POS","src.tests.compatibility","Tue Jul 07 00:24:55 UTC 2026","broken","Tue Jul 07 00:26:29 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","580","View product stock levels","src.tests.functional","Tue Jul 07 00:28:28 UTC 2026","passed","Tue Jul 07 00:28:29 UTC 2026","TestInventoryManagement","test_inventory","",""
"","148","Database selection on multi-db setup","src.tests.functional","Tue Jul 07 00:28:26 UTC 2026","passed","Tue Jul 07 00:28:26 UTC 2026","TestAuthentication","test_auth","",""
"","1336","Admin user can login successfully","src.tests.functional","Tue Jul 07 00:28:19 UTC 2026","passed","Tue Jul 07 00:28:21 UTC 2026","TestAuthentication","test_auth","",""
"","7325","Bank card payment completes successfully","src.tests.functional","Tue Jul 07 00:32:52 UTC 2026","passed","Tue Jul 07 00:32:59 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","1653","Login with demo user credentials","src.tests.functional","Tue Jul 07 00:28:24 UTC 2026","passed","Tue Jul 07 00:28:26 UTC 2026","TestAuthentication","test_auth","",""
"","0","Barcode scan preserves order state","src.tests.functional","Tue Jul 07 00:28:26 UTC 2026","skipped","Tue Jul 07 00:28:26 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","123674","Create product with stock tracking enabled","src.tests.functional","Tue Jul 07 00:30:09 UTC 2026","broken","Tue Jul 07 00:32:13 UTC 2026","TestInventoryManagement","test_inventory","",""
"","0","POS interface currency displays correctly","src.tests.compatibility","Tue Jul 07 00:24:51 UTC 2026","broken","Tue Jul 07 00:24:51 UTC 2026","TestMultiCurrency","test_multi_currency","",""
"","165","Login page displays correctly","src.tests.functional","Tue Jul 07 00:28:23 UTC 2026","passed","Tue Jul 07 00:28:23 UTC 2026","TestAuthentication","test_auth","",""
"","0","Complete a single product sale with cash payment","src.tests.functional","Tue Jul 07 00:34:21 UTC 2026","broken","Tue Jul 07 00:34:21 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","5704","POS interface loads successfully","src.tests.functional","Tue Jul 07 00:34:15 UTC 2026","passed","Tue Jul 07 00:34:21 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","376","User can logout successfully","src.tests.functional","Tue Jul 07 00:28:22 UTC 2026","passed","Tue Jul 07 00:28:23 UTC 2026","TestAuthentication","test_auth","",""
"","0","Scan non-existent barcode shows no product","src.tests.functional","Tue Jul 07 00:28:26 UTC 2026","skipped","Tue Jul 07 00:28:26 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","0","Scan barcode adds product to order","src.tests.functional","Tue Jul 07 00:28:26 UTC 2026","skipped","Tue Jul 07 00:28:26 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","0","Barcode scan with leading zeros","src.tests.functional","Tue Jul 07 00:28:26 UTC 2026","skipped","Tue Jul 07 00:28:26 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","671","Inventory report generation","src.tests.functional","Tue Jul 07 00:32:15 UTC 2026","passed","Tue Jul 07 00:32:15 UTC 2026","TestInventoryManagement","test_inventory","",""
"","563","Product stock decreases after POS sale","src.tests.functional","Tue Jul 07 00:28:31 UTC 2026","passed","Tue Jul 07 00:28:31 UTC 2026","TestInventoryManagement","test_inventory","",""
"","30563","Multiple payment terminal support","src.tests.compatibility","Tue Jul 07 00:26:41 UTC 2026","broken","Tue Jul 07 00:27:12 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","30559","Cash drawer integration signal","src.tests.compatibility","Tue Jul 07 00:27:34 UTC 2026","broken","Tue Jul 07 00:28:04 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","7165","Payment screen shows available payment methods","src.tests.functional","Tue Jul 07 00:33:52 UTC 2026","passed","Tue Jul 07 00:33:59 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","1072","Login page renders in Chromium","src.tests.compatibility","Tue Jul 07 00:24:40 UTC 2026","passed","Tue Jul 07 00:24:41 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","0","Receipt preview renders correctly","src.tests.compatibility","Tue Jul 07 00:26:29 UTC 2026","broken","Tue Jul 07 00:26:29 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","93679","Search product by barcode in inventory","src.tests.functional","Tue Jul 07 00:28:33 UTC 2026","broken","Tue Jul 07 00:30:07 UTC 2026","TestInventoryManagement","test_inventory","",""
